요양기관명,종별코드명,시도코드명,시군구코드명,읍면동,우편번호,주소,전화번호
위드팜천사약국,약국,서울,노원구,월계동,1909,"서울특별시 노원구 마들로 111, 207, 208호 (월계동, 나상가)",02-971-5532
노원행복한약국,약국,서울,강남구,도곡동,6295,"서울특별시 강남구 언주로 118, 1층 128호 (도곡동, 우성캐릭터199)",
건강드림약국,약국,서울,구로구,고척동,8223,"서울특별시 구로구 경인로47길 107, 102호 (고척동)",02-2689-3389
개포플러스약국,약국,서울,관악구,봉천동,8797,"서울특별시 관악구 인헌길 76, 1층 (봉천동)",02-872-0088
남강약국,약국,서울,강남구,개포동,6310,"서울특별시 강남구 언주로7길 6, 213호 (개포동, 개포자이르네)",02-574-2229
에이스약국,약국,서울,강서구,화곡동,7756,"서울특별시 강서구 강서로 56, (화곡동)",02-2608-9074
평화약국,약국,서울,송파구,신천동,5507,"서울특별시 송파구 올림픽로37길 130, 파크리오 A동 317호 (신천동)",02-421-0793
제이약국,약국,서울,도봉구,방학동,1357,"서울특별시 도봉구 방학로 176, (방학동)",02-3492-9963
하늘팜약국,약국,서울,성북구,안암동5가,2855,"서울특별시 성북구 고려대로 80, (안암동5가)",02-929-9696
365강남역약국,약국,서울,동대문구,이문동,2409,"서울특별시 동대문구 신이문로 41, 1층 (이문동)",02-969-0976
보건약국,약국,서울,서초구,방배동,6561,"서울특별시 서초구 방배로 225, 1층 (방배동, 성은빌딩)",593-5550
동보당약국,약국,서울,마포구,아현동,4129,"서울특별시 마포구 마포대로 195, 4단지상가동 219호 (아현동, 마포래미안푸르지오)",02-312-3125
새미약국,약국,서울,강서구,화곡동,7649,"서울특별시 강서구 화곡로 347, 111호 (화곡동, 그랜드아이파크)",02-2601-6886
설약국,약국,서울,강남구,대치동,6279,"서울특별시 강남구 삼성로 233, (대치동)",02-568-6644
방이코끼리약국,약국,서울,강동구,천호동,5336,"서울특별시 강동구 천호대로 1053, 이안 강동 컴홈스테이 1차 (천호동)",02-6053-0533
까치산메가약국,약국,서울,중구,남대문로5가,4527,"서울특별시 중구 통일로 10, 연세대학교 세브란스빌딩 1층 107호 (남대문로5가)",02-2259-0488
자양종로약국,약국,서울,양천구,신정동,8093,"서울특별시 양천구 목동서로 389, 101호 (신정동, 테마상가)",02-2642-4487
좋은약국,약국,서울,서초구,방배동,6683,"서울특별시 서초구 방배로 111, 1층 (방배동, 근복빌딩)",02-583-7170
참한약국,약국,서울,성북구,안암동2가,2843,"서울특별시 성북구 고려대로17길 3, 지하1층 (안암동2가)",02-929-2111
365백화점온누리약국,약국,서울,중구,명동2가,4537,"서울특별시 중구 명동길 74, 카톨릭회관 신관 B113호 (명동2가)",
당근온누리약국,약국,서울,강남구,논현동,6052,"서울특별시 강남구 학동로 203, 1층 (논현동)",02-3443-8575
정약국,약국,서울,관악구,신림동,8854,"서울특별시 관악구 난곡로 198, (신림동)",864-0250
구민약국,약국,서울,강동구,천호동,5325,"서울특별시 강동구 구천면로 269-1, (천호동)",02-476-3193
수려한약국,약국,서울,강남구,역삼동,6129,"서울특별시 강남구 강남대로 428, 1층 (역삼동)",02-562-6201
믿음메디칼약국,약국,서울,강남구,청담동,6069,"서울특별시 강남구 학동로 417, 102호 (청담동)",
메디팜서울약국,약국,서울,강서구,공항동,7625,"서울특별시 강서구 방화대로7나길 29, (공항동)",02-2665-5110
미아팜약국,약국,서울,도봉구,방학동,1357,"서울특별시 도봉구 도당로13길 17, 1층 (방학동)",070-4369-0101
건강을그리는약국,약국,서울,중랑구,면목동,2146,"서울특별시 중랑구 면목로 419, 1층 (면목동)",495-0222
한가족약국,약국,서울,강남구,역삼동,6236,"서울특별시 강남구 테헤란로20길 11, 1층 (역삼동)",02-538-5257
수유파랑새약국,약국,서울,강동구,길동,5355,"서울특별시 강동구 천호대로 1107, 1층 (길동, 강동역에스케이허브)",02-484-5152
잠실365약국,약국,서울,노원구,상계동,1693,"서울특별시 노원구 상계로 63-7, 1층 (상계동, 청우빌딩)",952-1609
상계종로약국,약국,서울,용산구,갈월동,4334,"서울특별시 용산구 한강대로 312, 2층 2호 (갈월동)",02-774-9207
옵티마e-편한약국,약국,서울,영등포구,영등포동5가,7250,"서울특별시 영등포구 영중로 70, 1층 (영등포동5가)",02-2068-1161
덕성그린약국,약국,서울,강동구,성내동,5392,"서울특별시 강동구 성내로 19, (주)서경산업개발 1층 103호 (성내동)",02-483-6667
보령약국,약국,서울,강남구,개포동,6325,"서울특별시 강남구 선릉로 30, 개포빌딩 1층 (개포동)",02-579-2570
365미소약국,약국,서울,관악구,신림동,8859,"서울특별시 관악구 난곡로 107-1, 1층 (신림동)",02-866-7069
밝은온누리약국,약국,서울,중구,무교동,4520,"서울특별시 중구 세종대로 136, 1층 (무교동, 파이낸스빌딩)",02-779-7697
대치약국,약국,서울,관악구,봉천동,8786,"서울특별시 관악구 남부순환로 1784, 1층 (봉천동)",02-885-3575
뉴지명약국,약국,서울,서초구,서초동,6606,"서울특별시 서초구 서초대로 323, 삼풍프라자 1층 6호 (서초동)",
대교약국,약국,서울,강서구,가양동,7526,"서울특별시 강서구 양천로 461, (가양동, 주영빌딩)",02-3663-7071
바로약국,약국,서울,강남구,역삼동,6232,"서울특별시 강남구 강남대로 396, 강남역 103-104호 (역삼동)",02-554-5628
태양프라자약국,약국,서울,영등포구,여의도동,7340,"서울특별시 영등포구 국제금융로7길 22, (여의도동,대교B상가 114호)",02-785-1005
안국3층약국,약국,서울,서대문구,홍은동,3653,"서울특별시 서대문구 연희로 262-29, 1층 (홍은동)",02-379-4774
유명약국,약국,서울,관악구,봉천동,8735,"서울특별시 관악구 관악로 236, (봉천동)",02-877-3303
성북365약국,약국,서울,은평구,대조동,3394,"서울특별시 은평구 서오릉로 134, 메디칼 1층 (대조동)",02-355-6420
삼성늘푸른약국,약국,서울,동작구,사당동,7015,"서울특별시 동작구 동작대로 25, 4층 403호 (사당동)",02-586-7618
밝은미소약국,약국,서울,관악구,봉천동,8758,"서울특별시 관악구 남부순환로 1805, 1층 (봉천동)",02-883-7701
청담메디웰약국,약국,서울,송파구,오금동,5657,"서울특별시 송파구 마천로 53, 2층 (오금동)",02-456-7185
명일마트종로약국,약국,서울,강서구,화곡동,7756,"서울특별시 강서구 강서로18길 26, 1층 103호 (화곡동)",02-2694-7732
제중당건강약국,약국,서울,광진구,자양동,5078,"서울특별시 광진구 뚝섬로23길 29, 1층 (자양동)",02-498-9043
이화약국,약국,서울,양천구,신월동,7921,"서울특별시 양천구 남부순환로59길 2, 1층 (신월동)",02-2065-2264
건강제일녹십자약국,약국,서울,송파구,문정동,5839,"서울특별시 송파구 충민로 52, (문정동, 가든5웍스 BF1086)",02-2047-1970
광혜당약국,약국,서울,동작구,상도1동,6968,"서울특별시 동작구 양녕로 268, 진영빌딩 1층 (상도1동)",02-3280-5293
강북다모아약국,약국,서울,은평구,불광동,3345,"서울특별시 은평구 연서로 257, 1층 (불광동)",02-388-8811
송파중앙약국,약국,서울,광진구,군자동,4998,"서울특별시 광진구 능동로 261, 1층 102호 (군자동)",02-468-0966
건강과행복이열리는중앙메디칼약국,약국,서울,구로구,개봉동,8347,"서울특별시 구로구 개봉로 57-1, 1층 (개봉동)",02-2681-9577
제이비미소약국,약국,서울,영등포구,당산동3가,7257,"서울특별시 영등포구 당산로 142-1, (당산동3가)",02-2633-4671
중계열방약국,약국,서울,서초구,서초동,6734,"서울특별시 서초구 서운로 6, 코날빌딩 104호 (서초동)",02-523-5679
녹십자옵티마약국,약국,서울,강남구,논현동,6103,"서울특별시 강남구 봉은사로 331, 지하1층 일부호 (논현동)",02-3445-0453
대흥온누리약국,약국,서울,마포구,성산동,3966,"서울특별시 마포구 월드컵북로 137, 1층 2호 (성산동, 씨에스타워)",02-325-8487
신양온누리약국,약국,서울,은평구,응암동,3457,"서울특별시 은평구 응암로 213, (응암동)",02-303-0544
경희제일약국,약국,서울,양천구,신정동,8093,"서울특별시 양천구 목동동로 59, 104호 (신정동, 로얄프라자)",02-2646-2680
센터온누리약국,약국,서울,강북구,미아동,1205,"서울특별시 강북구 도봉로 65, 1층 (미아동)",02-988-2376
솔트약국,약국,서울,송파구,송파동,5676,"서울특별시 송파구 송파대로38길 2-9, 103호 (송파동)",02-423-3675
홍약국,약국,서울,강남구,대치동,6280,"서울특별시 강남구 남부순환로 2927, 대치 클래시아 1층 133호 (대치동)",02-569-8779
이도약국,약국,서울,강북구,수유동,1029,"서울특별시 강북구 삼양로123길 6-8, 1층 (수유동)",02-993-6240
청운약국,약국,서울,송파구,잠실동,5554,"서울특별시 송파구 올림픽로 240, 롯데월드 잠실지하광장 지하도상가 8-2호 (잠실동)",02-417-2119
프라임온누리약국,약국,서울,노원구,중계동,1699,"서울특별시 노원구 한글비석로 363, 1층 (중계동)",02-934-7358
미소진약국,약국,서울,성북구,길음동,2724,"서울특별시 성북구 삼양로13길 45, 401호 (길음동, 길음뉴타운,e편한세상 대림상가)",02-909-3525
문정프라자약국,약국,서울,강북구,우이동,1044,"서울특별시 강북구 삼양로 530, 1층 (우이동)",02-6397-9974
녹십자약국,약국,서울,종로구,종로5가,3129,"서울특별시 종로구 종로 203, (종로5가)",02-763-8182
새열린약국,약국,서울,은평구,진관동,3306,"서울특별시 은평구 진관3로 20, (진관동)",02-388-1600
굿모닝이화약국,약국,서울,은평구,진관동,3300,"서울특별시 은평구 진관3로 11, 1층 (진관동, 은평뉴타운 힐데스하임)",02-387-1123
더하늘약국,약국,서울,강북구,미아동,1189,"서울특별시 강북구 삼양로 191, (미아동)",02-945-2295
영원약국,약국,서울,강남구,대치동,6197,"서울특별시 강남구 선릉로86길 42, 102호 (대치동)",02-6954-1778
365자양미소약국,약국,서울,도봉구,창동,1473,"서울특별시 도봉구 덕릉로 236, 1층 (창동)",02-993-2082
건강온누리약국,약국,서울,송파구,송파동,5669,"서울특별시 송파구 가락로 153, 1층 (송파동)",02-414-8275
명성약국,약국,서울,용산구,한강로2가,4376,"서울특별시 용산구 새창로 217, 용산토투밸리 1층 132호 (한강로2가)",0507-1436-9495
압구정화이트약국,약국,서울,노원구,상계동,1640,"서울특별시 노원구 덕릉로 773, 상계이씨빌딩 1층 (상계동)",934-4727
단골약국,약국,서울,종로구,안국동,3060,"서울특별시 종로구 율곡로 47, 305호 (안국동)",02-735-8242
팜프라자약국,약국,서울,노원구,공릉동,1833,"서울특별시 노원구 동일로192길 83, 용마빌딩 1층 105호 (공릉동)",
참고은약국,약국,서울,영등포구,대림동,7442,"서울특별시 영등포구 시흥대로 675, (대림동)",836-0754
소백약국,약국,서울,영등포구,대림동,7444,"서울특별시 영등포구 시흥대로 635, 대림메디컬빌딩 1층 (대림동)",02-2135-3560
별약국,약국,서울,성북구,하월곡동,2733,"서울특별시 성북구 동소문로46길 19, 1층 (하월곡동)",02-943-4113
위드팜가까운지하철약국,약국,서울,도봉구,창동,1454,"서울특별시 도봉구 도봉로 476, 206호 (창동, 삼성쉐르빌퍼스티)",02-993-5757
오로라온누리약국,약국,서울,관악구,봉천동,8747,"서울특별시 관악구 양녕로 46, 메카플러스 1층 107호 (봉천동)",02-877-0927
시장약국,약국,서울,관악구,봉천동,8788,"서울특별시 관악구 관악로 168, 1층 111호 (봉천동, 대우디오슈페리움2단지)",02-888-5887
회현약국,약국,서울,강남구,청담동,6070,"서울특별시 강남구 삼성로 772, 105호 (청담동, 로데오프라자)",02-540-4324
센트럴약국,약국,서울,강동구,명일동,5269,"서울특별시 강동구 고덕로 276, 지하1층 (명일동, 이마트명일점)",02-428-7845
우리조은약국,약국,서울,동작구,사당동,7013,"서울특별시 동작구 동작대로 89, 107,108,S-12,S-13호 (사당동, 골든시네마타워)",02-598-2700
마포삼성약국,약국,서울,동작구,상도1동,6912,"서울특별시 동작구 양녕로38길 2, (상도1동)",02-815-1155
한중약국,약국,서울,도봉구,쌍문동,1394,"서울특별시 도봉구 해등로 190, (쌍문동)",02-906-1024
강서메디칼약국,약국,서울,성북구,장위동,2767,"서울특별시 성북구 장월로 88-1, (장위동)",02-942-5199
신반포온누리약국,약국,서울,강북구,미아동,1205,"서울특별시 강북구 도봉로 79, (미아동)",02-945-2088
대한약국,약국,서울,송파구,방이동,5548,"서울특별시 송파구 오금로 91, 1층 (방이동)",02-417-0255
성신필약국,약국,서울,동작구,노량진동,6922,"서울특별시 동작구 노량진로 162, . 1층 (노량진동)",02-825-4384
상도프라자약국,약국,서울,은평구,대조동,3395,"서울특별시 은평구 진흥로 133, 1층 101호 (대조동)",02-356-7950
홍일태평양약국,약국,서울,동작구,흑석동,6972,"서울특별시 동작구 흑석로 106-5, 1층 (흑석동)",02-811-1700
파크원온누리약국,약국,서울,강남구,신사동,6031,"서울특별시 강남구 논현로 841, 1층 107호 (신사동, 제이비미소빌딩)",02-543-8391~2
밝은세상약국,약국,서울,마포구,노고산동,4058,"서울특별시 마포구 신촌로 88, 1층 (노고산동)",02-335-5606
휴베이스대학약국,약국,서울,노원구,중계동,1734,"서울특별시 노원구 한글비석로 250, 2층 222호 (중계동, 그린코아빌딩)",02-930-8679
대성약국,약국,서울,강남구,개포동,6314,"서울특별시 강남구 논현로10길 24, 1층 (개포동)",02-576-2720
살맛나는온누리약국,약국,서울,금천구,시흥동,8622,"서울특별시 금천구 독산로 133, 1층 (시흥동)",802-7779
예약국,약국,서울,마포구,대흥동,4104,"서울특별시 마포구 신촌로 160, 106호 (대흥동, 이대역스타힐스)",02-716-7582
건강약국,약국,서울,금천구,시흥동,8628,"서울특별시 금천구 시흥대로58길 38, (시흥동)",02-804-1230
신사힐스약국,약국,서울,동대문구,회기동,2454,"서울특별시 동대문구 경희대로 19-5, (회기동)",02-6403-1082
공원아이사랑약국,약국,서울,광진구,중곡동,4932,"서울특별시 광진구 능동로 420, (중곡동, 성문빌딩)",02-461-1045
3층중앙약국,약국,서울,강서구,염창동,7554,"서울특별시 강서구 양천로 660, 지층 L02호 (염창동)",02-2658-1770
진약국,약국,서울,은평구,불광동,3350,"서울특별시 은평구 연서로 246, 203호 (불광동)",02-382-5435
가온약국,약국,서울,동작구,노량진동,6913,"서울특별시 동작구 만양로 112, 1층 (노량진동, 서원빌딩)",02-822-2229
은은약국,약국,서울,관악구,봉천동,8748,"서울특별시 관악구 양녕로 30, 1층 (봉천동, 청운빌딩)",02-877-7977
코리아약국,약국,서울,성북구,장위동,2759,"서울특별시 성북구 월계로40길 7, 1층 109호,110호 (장위동, 센트럴타운상가)",02-916-9472
나이스약국,약국,서울,강동구,명일동,5257,"서울특별시 강동구 양재대로 1661, (명일동)",02-428-3365
담주미즈약국,약국,서울,송파구,문정동,5796,"서울특별시 송파구 동남로 138, 1층 (문정동)",407-6796
일원역1번출구약국,약국,서울,서초구,방배동,6572,"서울특별시 서초구 방배로25길 4, 1층 (방배동)",02-533-5287
유성약국,약국,서울,양천구,신정동,8015,"서울특별시 양천구 신목로 34, (신정동)",02-2655-2388
고척시장약국,약국,서울,서대문구,북가좌동,3709,"서울특별시 서대문구 수색로 100, 3-7-1호 (북가좌동, DMC래미안e편한세상 단지내상가 1BL)",02-304-1179
레이크이화약국,약국,서울,강서구,등촌동,7590,"서울특별시 강서구 공항대로 383, 1층 4호 (등촌동)",02-3661-8896
잠실새내약국,약국,서울,서초구,반포동,6536,"서울특별시 서초구 강남대로 509, 1층 (반포동)",02-540-2636
2층스타약국,약국,서울,은평구,응암동,3461,"서울특별시 은평구 은평로 123, 1층 101호 (응암동, 응암아네스트)",02-389-6182
햇빛약국,약국,서울,강남구,역삼동,6123,"서울특별시 강남구 봉은사로 108, 1층 (역삼동)",02-3288-9988
신촌온누리약국,약국,서울,강남구,수서동,6362,"서울특별시 강남구 광평로 196, 202호 (수서동, 제이스프라자)",02-451-9111
대우약국,약국,서울,도봉구,방학동,1332,"서울특별시 도봉구 도봉로150길 43, 2층 215호 (방학동, ESA 아파트)",02-3491-6155
타임약국,약국,서울,광진구,자양동,5098,"서울특별시 광진구 뚝섬로 606, 1층 (자양동)",02-453-7985
우리다온약국,약국,서울,관악구,봉천동,8757,"서울특별시 관악구 남부순환로 1715, 101호 (봉천동, 신우빌딩)",070-7740-3349
굿케어약국,약국,서울,광진구,구의동,5032,"서울특별시 광진구 광나루로 538, (구의동)",444-7848
한티미소약국,약국,서울,강남구,신사동,6022,"서울특별시 강남구 압구정로30길 23, 102호 (신사동)",02-515-8715
난곡비타민약국,약국,서울,성북구,돈암동,2828,"서울특별시 성북구 북악산로 844, 상가동 지하층 102-1호 (돈암동, 브라운스톤 돈암 아파트)",02-926-1860
종로프라자약국,약국,서울,동작구,신대방동,7061,"서울특별시 동작구 보라매로 61-1, (신대방동)",02-821-3157
고래약국,약국,서울,노원구,공릉동,1842,"서울특별시 노원구 동일로 1066, 1층 (공릉동)",02-6396-3003
메디칼중앙약국,약국,서울,강서구,등촌동,7591,"서울특별시 강서구 강서로56길 110, SJC빌딩 101호 (등촌동)",02-3663-1077
제인약국,약국,서울,송파구,거여동,5787,"서울특별시 송파구 양산로 12, 세신거여훼미리타운 1층 107호 (거여동)",02-400-8805
뉴성모제일약국,약국,서울,은평구,역촌동,3404,"서울특별시 은평구 서오릉로 79, 아름빌딩 1층 (역촌동)",357-5070
명일약국,약국,서울,양천구,목동,7999,"서울특별시 양천구 오목로 345, 목동 슬로우스퀘어 108호 (목동)",02-2062-1100
상봉보람약국,약국,서울,송파구,신천동,5507,"서울특별시 송파구 올림픽로37길 130, 파크리오 124,125,126호 (신천동)",413-9333
동우약국,약국,서울,동대문구,전농동,2550,"서울특별시 동대문구 서울시립대로 92, 1층 (전농동)",02-2213-7967
주차편한약국,약국,서울,은평구,불광동,3345,"서울특별시 은평구 연서로 257, (불광동)",02-389-4222
가톨릭정문약국,약국,서울,중구,남창동,4635,"서울특별시 중구 퇴계로 36, 삼선빌딩 302호 (남창동)",02-3789-6399
호반약국,약국,서울,강동구,상일동,5276,"서울특별시 강동구 고덕로80길 123, 고덕센트럴아이파크아파트(상가A동) 2층 206호 (상일동)",02-428-2123
신바오로약국,약국,서울,노원구,상계동,1604,"서울특별시 노원구 동일로 1689, 2층 206호 (상계동, 하이베라스)",02-6397-1820
국제약국,약국,서울,관악구,봉천동,8735,"서울특별시 관악구 관악로30길 12, 301호 (봉천동, 봉천우성아파트)",
성모제일약국,약국,서울,송파구,문정동,5854,"서울특별시 송파구 법원로 128, 문정에스케이브이원지엘메트로시티 A동 216호 (문정동)",02-560-4970
세계로메디칼약국,약국,서울,마포구,도화동,4168,"서울특별시 마포구 도화길 33, 1층 우측호 (도화동)",02-712-8988
명진팜약국,약국,서울,금천구,시흥동,8568,"서울특별시 금천구 독산로 136, 103호 (시흥동)",02-804-6985
주평화약국,약국,서울,강서구,화곡동,7722,"서울특별시 강서구 까치산로4길 3, 1층 (화곡동)",02-2602-4567
우리 이 약국,약국,서울,서초구,반포동,6547,"서울특별시 서초구 반포대로 287, 125호 (반포동)",02-6080-5981
역삼우주약국,약국,서울,중랑구,신내동,2053,"서울특별시 중랑구 신내로16길 17, 105호 (신내동)",3421-4200
신통일약국,약국,서울,동대문구,회기동,2453,"서울특별시 동대문구 경희대로 22-1, 1층 (회기동)",02-957-6257
신나리약국,약국,서울,성북구,동소문동6가,2830,"서울특별시 성북구 아리랑로 7-1, 동소문동근생 1층 (동소문동6가)",02-925-6100
더튼튼약국,약국,서울,동작구,상도동,7040,"서울특별시 동작구 상도로 356, 1층 (상도동, 교동빌딩)",02-822-0667
팜스토리약국,약국,서울,양천구,신정동,7937,"서울특별시 양천구 목동로 229, 1층 (신정동)",02-2692-0422
우리사랑약국,약국,서울,영등포구,여의도동,7335,"서울특별시 영등포구 여의대로 108, 파크원 2층 (여의도동)",02-2118-0149
월곡우리약국,약국,서울,강서구,화곡동,7694,"서울특별시 강서구 강서로 242, 상가동 419일부호 (화곡동, 강서힐스테이트)",02-2696-1669
기쁨온누리약국,약국,서울,관악구,신림동,8759,"서울특별시 관악구 남부순환로 1603, 101호 (신림동)",02-888-7744
신정네거리중앙약국,약국,서울,용산구,한남동,4402,"서울특별시 용산구 대사관로 60, 1층 (한남동)",070-8860-7760
안녕약국,약국,서울,관악구,봉천동,8733,"서울특별시 관악구 청림길 8, (봉천동)",02-877-3024
매일약국,약국,서울,구로구,항동,8368,"서울특별시 구로구 서해안로 2098, 항동프라자 103호 (항동)",02-2687-7575
강동새경희약국,약국,서울,강서구,등촌동,7586,"서울특별시 강서구 공항대로41길 75, 경원프라자 108,109호 (등촌동)",02-2668-2925
굿윌정약국,약국,서울,중랑구,신내동,2026,"서울특별시 중랑구 신내로 135, 신내9단지아파트 제상가1동 1층 117호 (신내동)",02-3421-7582
온누리옥산약국,약국,서울,서초구,잠원동,6526,"서울특별시 서초구 강남대로 589, 제1동 제지1층 제엔121호 (잠원동)",02-511-3457
해동온누리약국,약국,서울,성북구,하월곡동,2733,"서울특별시 성북구 동소문로44길 17, 102동 106호 (하월곡동, 성북힐스테이트)",02-909-0322
후문약국,약국,서울,강남구,도곡동,6301,"서울특별시 강남구 논현로28길 43, 3층 (도곡동)",02-577-2501
양지약국,약국,서울,은평구,녹번동,3373,"서울특별시 은평구 통일로 610, 106호 (녹번동, 힐스테이트녹번)",02-356-7464
고은 한약국,약국,서울,강동구,천호동,5328,"서울특별시 강동구 올림픽로 658, 오복빌딩 2층 (천호동)",02-473-4302
수서두리약국,약국,서울,도봉구,방학동,1362,"서울특별시 도봉구 시루봉로 105, 1층 111호 (방학동, 신동아상가)",070-8184-9606
강남약국,약국,서울,광진구,자양동,5092,"서울특별시 광진구 뚝섬로 590, 아주빌딩 1층 (자양동)",02-456-1139
건대지하철약국,약국,서울,강남구,개포동,6325,"서울특별시 강남구 선릉로 34, 1층 (개포동)",02-572-6123
나라약국,약국,서울,서초구,서초동,6614,"서울특별시 서초구 강남대로 421, 삼영빌딩 1층 (서초동)",02-594-0503
정담은한약국,약국,서울,강동구,천호동,5335,"서울특별시 강동구 천호대로159길 3, 1층 (천호동)",02-474-9114
달빛약국,약국,서울,강서구,내발산동,7638,"서울특별시 강서구 강서로45길 174, 수명산씨티 3층 (내발산동)",02-2665-7565
암사제일약국,약국,서울,강남구,일원동,6355,"서울특별시 강남구 일원로 121, 일원역 지하M층 338-M01호 (일원동)",02-445-1011
라미약국,약국,서울,용산구,한강로2가,4378,"서울특별시 용산구 한강대로 95, 상가동 2층 228호 (한강로2가, 래미안용산 더 센트럴)",02-3785-2202
해링턴원약국,약국,서울,종로구,연건동,3082,"서울특별시 종로구 대학로5길 57, 1,2층 (연건동)",02-3676-1720
조이온누리약국,약국,서울,종로구,종로5가,3196,"서울특별시 종로구 동호로 408, 흥일빌딩 (종로5가)",02-2263-9666
사당역약국,약국,서울,구로구,고척동,8219,"서울특별시 구로구 경인로47길 126, 1층 (고척동)",02-2681-3535
보나약국,약국,서울,중구,쌍림동,4615,"서울특별시 중구 장충단로 195, 1, 지하1층 (쌍림동)",02-2279-3525
명일로약국,약국,서울,종로구,내자동,3041,"서울특별시 종로구 자하문로 1, 1층 1호 (내자동)",
화랑온누리약국,약국,서울,송파구,잠실동,5607,"서울특별시 송파구 석촌호수로 135, 레이크팰리스 A동 122호 (잠실동)",070-4897-7137
강서지금약국,약국,서울,송파구,잠실동,5559,"서울특별시 송파구 석촌호수로 74, 101-1호 (잠실동)",070-7867-0079
수태평양약국,약국,서울,은평구,진관동,3306,"서울특별시 은평구 통일로 1034, 2층 210호 (진관동, 은평 스카이뷰 자이)",02-357-8889
중앙대영약국,약국,서울,광진구,화양동,5030,"서울특별시 광진구 능동로 110, (화양동)",457-6664
효제약국,약국,서울,마포구,신수동,4109,"서울특별시 마포구 백범로 28, 제2서강빌딩 105호 (신수동)",701-8277
양지바른약국,약국,서울,은평구,대조동,3396,"서울특별시 은평구 통일로 749, 1층 (대조동)",02-387-8626
3층한사랑약국,약국,서울,강남구,역삼동,6212,"서울특별시 강남구 선릉로 431, 에스케이허브오피스텔 1층 (역삼동)",
노바약국,약국,서울,강남구,개포동,6325,"서울특별시 강남구 선릉로 26, 1층 (개포동)",02-000-0000
플러스 약국,약국,서울,강남구,논현동,6059,"서울특별시 강남구 선릉로 719, 103호 (논현동)",02-543-8204
신대방우리약국,약국,서울,강남구,대치동,6205,"서울특별시 강남구 선릉로 314, 2층 201-2호 (대치동)",02-6471-5400
효자동약국,약국,서울,관악구,신림동,8864,"서울특별시 관악구 난곡로 231, 1층 (신림동)",02-855-8885
이안약국,약국,서울,도봉구,창동,1405,"서울특별시 도봉구 노해로65길 14-3, 1층 (창동)",02-990-7248
생명샘약국,약국,서울,노원구,상계동,1689,"서울특별시 노원구 상계로 32, 노원역 보미 더 클래스 오피스텔 1층 105-1호 (상계동)",02-938-2023
바른약국,약국,서울,양천구,목동,8005,"서울특별시 양천구 오목로 312, (목동)",2646-2892
우리대치약국,약국,서울,서대문구,홍제동,3629,"서울특별시 서대문구 통일로 442-3, 제1호 (홍제동)",02-379-0213
광화문123약국,약국,서울,영등포구,신길동,7319,"서울특별시 영등포구 여의대방로62길 2, 봉덕빌딩 1층 (신길동)",02-824-7586
늘픔약국,약국,서울,강동구,명일동,5292,"서울특별시 강동구 양재대로 1626, 202호 (명일동)",3427-2283
새순보당약국,약국,서울,중랑구,상봉동,2149,"서울특별시 중랑구 망우로 322, 114호 (상봉동, 상봉역 유보라 퍼스트리브&포스퀘어)",
혜원약국,약국,서울,서초구,양재동,6738,"서울특별시 서초구 남부순환로356길 15, 111,112,126호 (양재동, 양재종합시장)",02-574-2678
소망온누리약국,약국,서울,은평구,진관동,3311,"서울특별시 은평구 통일로 1030, 은평헤스티아 지하1층 103,104호 (진관동)",02-356-7660
한우리약국,약국,서울,은평구,진관동,3312,"서울특별시 은평구 통일로 1031, 1층 102호 (진관동)",02-389-9846
중앙온누리약국,약국,서울,은평구,대조동,3391,"서울특별시 은평구 통일로 767, 401동 225호 (대조동, 베르디움STAY1)",
가락온누리약국,약국,서울,은평구,진관동,3311,"서울특별시 은평구 통일로 1030, 은평헤스티아 1층 111,112호 (진관동)",02-962-1356
고전약국,약국,서울,성동구,금호동4가,4737,"서울특별시 성동구 독서당로 288-1, (금호동4가)",02-2294-3833
가장큰현대아산약국,약국,서울,은평구,진관동,3311,"서울특별시 은평구 통일로 1030, 은평헤스티아 102호 (진관동)",02-353-3883
수유상록수약국,약국,서울,송파구,거여동,5790,"서울특별시 송파구 위례서로 248, 지하1층 L07, L08, L09호 (거여동)",02-404-1275
압구정약국,약국,서울,관악구,남현동,8806,"서울특별시 관악구 남부순환로 2064, 102호 (남현동)",02-597-5222
이즈타워약국,약국,서울,관악구,봉천동,8797,"서울특별시 관악구 인헌6길 5, 1층 (봉천동)",882-3301
명지약국,약국,서울,마포구,노고산동,4100,"서울특별시 마포구 백범로 8, 우정마샹스 오피스텔 비110호 (노고산동)",02-0000-0000
압구정수약국,약국,서울,마포구,노고산동,4101,"서울특별시 마포구 백범로 13, 신촌르메이에르타운II 3층 309호 (노고산동)",02-6956-8457
반포종로약국,약국,서울,강남구,역삼동,6221,"서울특별시 강남구 언주로85길 32, 역삼역센트럴푸르지오 지하1층 B106호 (역삼동)",
흥부약국,약국,서울,강북구,번동,1066,"서울특별시 강북구 한천로123길 14, (번동)",02-903-7626
삼부약국,약국,서울,서초구,서초동,6608,"서울특별시 서초구 서운로 207, 삼호종합상가 1층 106호 (서초동)",02-3482-4585
아산큰길약국,약국,서울,광진구,자양동,5071,"서울특별시 광진구 동일로 92-1, 1층 (자양동)",02-499-2700
숭실길약국,약국,서울,은평구,응암동,3462,"서울특별시 은평구 은평로 136, 은경빌딩 104호 (응암동)",02-359-2448
온정약국,약국,서울,은평구,응암동,3461,"서울특별시 은평구 은평로 111, 은평이마트 8층 (응암동)",02-356-8352
