name,Closed Notice_Holiday,Emergency Room_Day_Operation Status,Emergency Room_Night_Operation Status,Consultation Start Time_Sunday,Consultation End Time_Sunday,Consultation Start Time_Monday,Consultation End Time_Monday,Consultation Start Time_Tuesday,Consultation End Time_Tuesday,Consultation Start Time_Wednesday,Consultation End Time_Wednesday,Consultation Start Time_Thursday,Consultation End Time_Thursday,Consultation Start Time_Friday,Consultation End Time_Friday,Consultation Start Time_Saturday,Consultation End Time_Saturday
김일섭치과의원,,N,N,,,1000,1800,1000,1800,0,0,1000,1800,1000,1800,,
규치과의원,휴무,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1600
성남리더스치과의원,휴진,N,N,,,930,2000,930,2000,930,2000,930,1830,930,1830,930,1300
인덕원사과나무치과의원,전부휴진,N,N,,,1000,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1600
백상치과의원,전부휴진,N,N,,,930,1830,930,1230,930,1830,1400,1830,930,1830,930,1230
최재혁치과의원,전부휴진,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1300
이승호치과의원,,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1330
지승용치과의원,전부휴진,N,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,,
이앤미치과의원,휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1300
해오름치과의원,전부휴진,N,N,,,1000,1900,1000,2100,1000,1900,1000,1900,1000,2100,1000,1600
노엘치과의원,전부 휴진,N,N,,,1000,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1300
하북치과의원,전부 휴진,N,N,,,930,1830,930,2100,930,1830,930,2100,930,1830,930,1400
강남웰치과의원,,N,N,930,1330,930,1830,930,1830,1400,2100,930,1830,930,1830,930,1330
장인호치과의원,전부 휴진,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400
윤치과의원,,N,N,,,1000,1830,1000,1830,1400,1830,1000,1830,1000,1830,1000,1330
이종선치과의원,전부휴진,N,N,,,1000,1830,1000,1830,1000,1830,1400,2030,1000,1830,1000,1330
동탄예치과의원,휴진,N,N,,,1000,1830,1000,1830,1000,1830,1000,1830,1000,1830,900,1330
영재치과의원,전부휴진,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1600
유승원치과의원,전부휴진,N,N,,,930,1800,930,1800,930,1800,930,1800,930,1800,930,1300
호수치과의원,전부 휴진,N,N,,,930,1830,930,2100,930,1830,930,2100,930,1830,,
상동서울치과의원,휴무,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1400
사랑빛치과의원,,N,N,,,,,,,,,,,,,,
예그린치과의원,전부휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1600
연세예스치과의원,,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1400
서울다즐치과교정과치과의원,전부 휴진,N,N,,,930,1830,930,2030,930,1830,930,1830,930,1830,930,1400
희망을심는치과의원,전부휴진,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400
원치과의원,휴진,Y,N,,,,,,,,,,,,,,
임플라인치과의원,휴무,N,N,,,930,1900,930,2100,930,1900,930,2100,930,1900,930,1700
행복담은샘치과의원,휴무,N,N,,,930,1900,930,2100,930,1900,930,1900,930,2100,930,1400
연세나노치과의원,전부휴진,N,N,,,930,1830,930,1830,930,1800,930,1830,930,1830,930,1300
곰돌이키즈치과의원,휴무,N,N,,,1000,1900,1000,1900,1000,2100,,,1000,1900,1000,1400
새이플란트치과의원,휴진,N,N,,,,,,,,,,,,,,
수지열린치과의원,임시공휴일대체공휴일은정상진료,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1430
아이맘치과의원,전부휴진,N,N,,,930,1700,930,1700,930,1700,930,1700,930,1700,930,1300
신현굿모닝치과의원,,N,N,,,930,1900,930,2100,930,1900,930,2100,930,1900,930,1430
연세후치과의원,전부휴진,N,N,,,1000,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1400
백영걸치과의원,,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1300
광교치과의원,전부휴진,N,N,,,930,1800,930,1800,930,1800,930,1800,930,1800,930,1300
여주이즈치과의원,전부휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1400
함께하는 중앙치과의원,,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400
아시아드치과의원,전부휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1330
본플란트치과의원,전부 휴진,N,N,,,1000,1900,1000,1900,1000,1900,200,2100,1000,19,1000,1300
미인플란트치과의원,,N,N,,,930,1830,930,1830,930,1830,,,930,1830,930,1300
유앤아이시카고치과의원,대체공휴일 정상 진료,N,N,,,930,1900,1430,1900,930,1900,1430,1900,930,1900,930,1200
이플러스치과의원,전부휴진,N,N,930,1700,930,1830,930,1830,930,2100,930,1830,930,1600,,
예미담치과의원,,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1400
THE(더) 조은 치과의원,,N,N,,,920,1830,920,1830,920,1830,920,1830,920,1830,920,1400
넝쿨치과의원,,Y,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1300
연세김선용치과의원,전부 휴진,N,N,,,1000,1800,1000,1800,1000,1300,1000,1800,1000,1300,,
더좋은서울치과의원,전부휴진,N,N,,,,,,,,,,,,,1000,1400
판교어린이치과의원,,N,N,,,,,,,,,,,,,,
예다한치과의원,전부 휴진,N,N,,,,,,,,,,,,,,
서울리드치과의원,전부휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,,
계양스마일치과의원,전부휴진,N,N,,,1000,1830,1000,1830,1000,1830,1400,1830,1000,1830,1000,1300
인천평화의료복지사회적협동조합평화치과의원,휴무,N,N,,,930,1800,930,1800,930,1800,930,2000,930,1800,930,1300
서울플러스치과의원,공휴일 휴진,N,N,,,930,2030,930,1830,930,2030,930,1830,930,1830,930,1400
김재원치과의원,휴무,N,N,,,1000,1800,1000,1800,1000,1800,1000,1800,1000,1800,0,0
위시티연세치과의원,휴무,Y,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400
바른이박상민치과의원,휴진,N,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1600
민들레치과의원,휴진,N,N,,,1000,1830,1000,1830,1000,1830,1000,1830,1000,1830,900,1300
동백쥬니어치과의원,휴진,N,N,,,900,1900,900,1900,900,2100,900,1900,900,1900,900,1600
진접애플치과의원,전부 휴진,N,N,,,930,1800,930,2000,930,1800,930,1800,930,1800,930,130
서울나란이치과의원,전부 휴진,N,N,,,930,1830,930,2030,930,1830,930,1830,930,1830,930,1400
지디치과의원,,N,N,,,930,1830,930,1830,930,1830,930,2030,930,1830,930,1230
운정365치과의원,,N,N,,,,,,,,,,,,,900,1300
생각나무치과의원,휴진,N,N,,,,,,,,,,,,,,
연세문치과의원,전부휴진,Y,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1400
중동21세기치과의원,휴무,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1600
(사)한국건강관리협회건강증진치과의원,휴진,N,N,,,1000,1800,1000,1800,1000,1800,1000,1800,1000,1800,,
배곧치과의원,전부휴진,N,N,,,930,1800,930,2000,930,1800,930,1300,930,1800,930,1300
인생플란트치과의원,,N,N,,,930,1830,930,2100,930,1830,930,2100,930,1830,930,1400
뿌리사랑치과의원,전부 휴진,N,N,,,930,1830,930,1830,930,1830,,,930,1830,930,1300
장서연치과의원,휴진,N,N,,,930,1800,930,1800,0,0,930,1800,930,1800,930,1100
주드림치과의원,휴무,N,N,,,1800,1900,1800,2100,1800,1900,1800,2100,1800,1900,1030,1300
모래내치과의원,휴무,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1400
서울은치과의원,전부 휴진,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400
화인서울치과의원,,N,N,,,930,1800,930,1800,930,1800,,,930,1800,930,1300
리더스치과의원,전부휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1400
아는치과의원,,N,N,,,1000,1900,1000,1900,1000,2100,1400,1900,1000,1900,1000,1500
다나은치과의원,전부 휴진,N,N,,,930,1800,930,1800,930,1800,930,1800,930,1800,930,1500
기치과의원,전부휴진,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1600
보스톤탑치과의원,휴무,N,Y,,,1000,1800,1000,1800,1000,1800,1000,1800,1000,1800,1000,1530
연세사랑의치과의원,전부 휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1400
정이든치과의원,휴진,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1300
이턱플란트치과의원,전부 휴진,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1300
더블유플러스(W플러스)치과의원,전부 휴진,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1400
더라은치과의원,전부휴진,N,N,,,900,1800,900,1800,900,1800,0,0,900,1800,900,1200
엘(L)-아름다운치과의원,전부휴진,N,N,,,930,1830,930,1830,,,930,1830,930,1830,930,1300
서울이플란트치과의원,휴진,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1300
도촌치과의원,,N,N,,,1000,1900,1000,2100,1000,1900,1000,1900,1000,2100,1000,1400
서울휴먼치과의원,,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400
일산앞선치과의원,휴진,N,N,,,,,,,,,,,,,,
연세플란트치과의원,휴무,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1400
화서올바른치과의원,휴진,N,N,,,930,1830,930,2030,930,1830,,,930,2030,900,1300
세계로치과의원,전부휴진,N,N,,,930,1800,930,1800,930,1800,930,1800,930,1800,930,1300
뉴욕본치과의원,전부휴진,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1400
교하리더스치과의원,전부휴진,N,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1400
담덕치과의원,휴무,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1330
연수퍼스트치과의원,휴무,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1600
서울로뎀치과의원,휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1400
베스트원치과의원,전부휴진,N,N,,,1000,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1330
설명을잘하는솔치과의원,휴무,N,N,900,1300,930,2100,1030,1900,930,1800,1000,2100,900,1800,,
연세정치과의원,휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1330
연세부부치과의원,휴진,N,N,,,930,1900,930,2030,930,1900,930,1900,930,1900,930,1400
서울신세계치과의원,,N,N,,,1000,1900,1000,2000,1000,1900,1000,2000,1000,1900,1000,1600
옳치과의원,전부휴진,N,N,,,,,,,,,,,,,,
예스치과의원,전부휴진,N,N,,,1000,630,1000,630,,,1000,630,1000,630,1000,1400
S플러스치과의원,,N,N,,,,,,,,,,,,,,
범계유디치과의원,전부휴진,N,N,,,930,1900,930,1900,930,1900,,,930,1900,930,1400
네이버치과의원,전부휴진,N,N,,,1000,1900,1000,2100,1000,1900,1000,2100,1000,1900,1000,1500
별플란트치과의원,전부 휴진,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400
구리튼튼치과의원,전부휴진,N,N,,,930,630,930,630,930,630,1430,2030,930,630,930,1300
뉴욕다나치과의원,휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1400
가이드치과의원,전부휴진,N,N,,,930,1800,930,1800,930,1800,1430,1800,930,1800,1430,1300
마석타임치과의원,,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1400
가족애치과의원,휴진,N,N,,,930,1800,930,1800,930,1800,1430,1800,930,1800,930,1230
굿초이스치과의원,휴진,N,N,,,900,1800,900,2030,900,1800,,,900,1800,900,1400
삼성드림치과의원,전부 휴진,N,N,,,900,1800,900,1800,900,1800,,,900,1800,900,1300
사랑심는치과의원,전부 휴진,N,N,,,930,1830,930,1830,930,2100,1400,1830,930,1830,930,1300
서울선치과의원,전부휴진,N,N,,,1000,2100,1000,1900,1000,1900,1000,2100,1000,1900,1000,1300
가야치과의원,,N,N,,,1000,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1300
별내S치과의원,휴진,N,N,,,1000,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1500
별내S주니어치과의원,진료없음,N,N,830,1400,900,1700,900,2100,900,1700,900,1700,900,2100,830,1400
에코치과의원,전부 휴진,N,N,,,,,,,,,,,,,,
서울S치과의원,,N,N,,,,,,,,,,,,,,
서울연치과의원,진료없음,N,N,1000,1400,1000,2000,1000,1900,1000,1900,1230,2000,1000,1900,1000,1400
용현탑치과의원,전부 휴진,N,N,,,930,2100,930,1830,930,1830,930,2100,930,1830,930,1400
건강이치과의원,,N,N,,,1000,1800,1000,1800,1000,1800,1000,1800,1000,1800,1000,1400
서울주니어스치과의원,휴진,N,N,,,930,1830,930,1830,,,930,1830,930,1830,930,1300
서울힐링치과의원,휴진,N,N,,,1000,1900,1000,1900,1000,1900,1000,2000,1000,1900,1000,1600
삼송서울치과의원,전부 휴진,N,N,,,1000,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1400
삼성이플러스치과의원,휴진,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1500
연세오복치과의원,휴진,N,N,,,930,1830,930,1830,,,930,1830,930,1830,930,1400
해피트리치과의원,휴진,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1500
이지치과의원,휴무,N,N,,,1000,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1430
부천꼬마이치과의원,휴무,Y,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1400
우리쥬니어치과의원,,N,N,,,950,1830,950,1830,950,1930,0,0,950,1830,950,1330
늘좋은치과의원,전부휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1430
서울다안치과의원,휴진,N,N,,,1030,1900,1030,1900,1030,1900,1030,1900,1030,1900,930,1600
하치과의원,휴무,N,N,,,,,,,,,,,,,,
然(연)치과의원,,N,N,,,1030,1900,1030,1900,1030,2000,1030,1900,1030,1900,1000,1700
서울에스치과의원,휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1400
연세노상엽치과의원,,N,N,,,1000,2100,1000,1900,1000,1900,1000,2100,1000,1900,1000,1400
연세하이치과의원,휴진,N,N,,,,,,,,,,,,,,
웃는하루치과의원,전부휴진,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1400
드림치과의원,휴무,N,N,,,930,1830,930,1830,930,1830,1400,1830,930,1830,930,1400
미소가득치과의원,,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1300
장현수치과의원,전부휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1300
이레치과의원,,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400
위시티웰치과의원,,N,N,,,1000,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1400
파스텔치과의원,휴무,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1400
연세SD치과의원,전부휴진,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1600
서울본치과의원,전부 휴진,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400
서울튼튼치과의원,전부휴진,N,N,,,1000,1900,1000,2100,1000,1900,1000,1900,1000,2100,1000,1400
서울예인치과의원,휴진,N,N,,,930,630,930,630,930,630,930,630,930,630,,
삼성주니어치과의원,휴진,Y,N,,,1000,1900,1000,2100,1000,1900,1000,2100,1000,1900,1000,1600
하얀치과의원,휴진,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1300
청라오치과의원,,N,N,,,930,1900,930,1900,930,1930,930,1900,930,2100,930,1430
일산스타28치과의원,,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1400
연세허브치과의원,전부 휴진,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400
랜더스치과의원,,N,N,,,1000,1800,1000,1900,0,0,1000,1900,1000,1800,1000,1400
연세우리치과의원,전부휴진,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1600
참조은치과의원,,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400
서울자연이치과의원,전부 휴진,N,N,,,1000,1900,1000,1900,1000,1900,1000,2100,1000,1900,1000,1400
더탑치과교정과치과의원,전부 휴진,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1300
유디중앙역치과의원,전부 휴진,N,N,,,1100,1900,1100,1900,1100,1900,1100,1900,1100,1900,1100,1700
미소만들기치과의원,전부휴진,N,N,,,,,,,,,,,,,,
아이티치과의원,휴무,N,N,,,930,1800,930,1800,930,1800,930,1800,930,1800,930,1400
연세퍼스트치과의원,전부 휴진,N,N,,,1100,1930,1430,1930,1100,1930,,,1100,1930,900,1500
라은치과의원,,N,N,,,1000,1900,1000,2100,1000,1900,1000,1900,1000,2100,1000,1500
연세봄치과의원,전부 휴진,N,N,,,900,1800,900,1800,900,1800,900,1300,900,1800,900,1300
광교미소바른치과의원,전부휴진,N,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
서울휴치과의원,,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1600
오산본플란트치과의원,,N,N,,,1000,1900,1000,1900,1000,1900,1300,1900,1000,1900,1000,1400
서울좋은치과의원,휴무,N,N,,,1000,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1400
키즈웰치과의원,휴진,N,N,,,1000,1830,1000,1830,1000,1830,1000,1830,1000,1830,900,1300
믿음치과의원,전부휴진,N,N,,,1000,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1400
영통하나치과의원,휴무,N,N,,,930,1800,930,1800,930,1800,930,1800,930,1800,930,1300
연세웃는아이치과의원,전부 휴진,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1600
뉴큰사랑치과의원,,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1600
나래치과의원,휴무,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1400
나움치과의원,휴무,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1400
연세이사랑치과의원,전부휴진,N,N,,,1000,1900,1000,1900,1000,1900,1000,1300,1000,1900,930,1300
좋은치과의원,종일휴진,N,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1800
서울샤플란트치과의원,휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1400
회룡치과의원,,N,N,,,1000,1800,1000,1800,1000,1800,1000,1800,1000,1800,1000,1300
으뜸치과의원,,N,N,,,930,2100,930,1830,930,1830,930,2100,930,1830,900,1400
아튼빌치과의원,,N,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1300
서민성치과의원,휴진,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1300
조은우리치과의원,전부 휴진,N,N,,,930,1800,930,1800,930,1800,930,1800,930,1800,930,1300
공단치과의원,,N,N,,,1000,1900,1000,2100,1000,1900,1000,1900,1000,2100,1000,1600
김성수치과의원,전부휴진,N,N,0,0,1000,1830,1000,1830,1000,1830,1400,1830,1000,1830,1000,1400
서울미(美)치과의원,,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1500
뉴연세치과의원,,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1430
연세이미지치과의원,휴진,N,N,,,1000,1830,1000,1830,1000,1830,1430,2030,1000,1830,1000,1530
수원선치과의원,휴무,N,N,,,1000,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1300
김창규치과의원,,N,N,,,,,,,,,,,,,,
비앤비서울치과의원,,N,N,,,1000,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1400
연세센트럴치과의원,휴무,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,900,1400
미소인치과의원,휴진,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1600
참미소치과의원,전부 휴진,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1600
이튼치과의원,전부 휴진,N,N,,,930,1800,930,1800,930,1800,,,930,1800,930,1400
뉴욕미치과의원,휴  진,N,N,,,1000,1800,1000,1800,1000,1800,1000,1800,1000,1800,1000,1300
부일치과의원,전부휴진,N,N,,,,,,,,,,,,,,
네오연세치과의원,,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1300
이성근치과의원,전부휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1400
365더편한치과의원,전부 휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,1000,1850,930,1400
프린스앤프린세스치과의원,,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,930,1330
신갈강남치과의원,종일 휴진,N,N,,,900,1730,900,1730,900,1730,900,1730,900,1730,900,1230
바른플란트치과의원,전부휴진,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1600
김현치과교정과치과의원,전부 휴진,N,N,,,1000,1830,1000,1830,1000,2030,1000,1830,1000,1830,1000,1400
스마일턱치과의원,,N,N,,,900,2100,900,1900,900,2100,900,1900,900,1900,900,1400
보스턴키즈치과의원,,N,N,,,930,1830,930,1830,930,1830,,,930,1830,900,1400
트리플에이치과의원,휴진,N,N,,,910,1800,910,1800,910,1800,910,1800,910,1800,910,1300
배곧고운이치과의원,휴진,N,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,,
병점수치과의원,휴무,N,N,,,930,1830,930,1830,930,1830,1400,1830,930,1830,930,1300
봄빛치과의원,휴무,N,N,,,930,1830,930,1830,930,1830,1330,1830,930,1830,930,1430
반석치과의원,전부휴무,N,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
메트로치과의원,,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,930,1500
우리좋은치과의원,전부휴진,N,N,,,,,,,,,,,,,,
연세웰치과의원,,N,N,,,940,600,940,600,940,600,940,600,940,600,940,130
녹양성모치과의원,휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1300
안경모치과의원,,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1500
라이프치과의원,,N,N,,,,,,,,,,,,,,
장미치과의원,휴진,N,N,,,1000,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1400
효치과의원,전부휴진,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,,
미소그린치과의원,전부휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1300
연세미소앤치과의원,휴무,Y,N,,,910,1810,910,1930,910,1810,910,1810,910,1810,930,1400
감일어린이치과의원,전부휴진,N,N,,,1000,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1300
화이트드림치과의원,,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1300
오포수치과의원,,N,N,,,,,,,,,,,,,,
연세아이랑엄마랑치과의원,전부휴진,N,N,,,,,,,,,,,,,,
연세고운미소치과의원,전부휴진,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400
온치과의원,휴무,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1600
온누리치과의원,전부휴진,N,N,,,1000,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1400
일산린치과의원,"전부휴진/목요일 휴진 (단, 공휴일이 있는 주는 목요 진료 함)",N,N,,,1000,1830,1000,2030,1000,1830,1000,1830,1000,1830,1000,1400
정발산사과나무치과의원,,N,N,,,,,,,,,,,,,,
이플치과의원,,N,N,,,1000,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1600
남부치과의원,휴무,N,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1300
예원치과의원,휴진,N,N,,,1000,1800,1000,1800,1000,1800,1000,1800,1000,1800,1000,1600
금하치과의원,전부휴진,N,N,,,1000,1800,1000,1800,1000,1800,0,0,1000,1800,1000,1300
맑은린치과의원,휴진,N,N,,,930,1800,930,1800,930,1800,930,1800,930,1800,930,1300
법원치과의원,,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1300
심훈치과의원,휴무,N,N,,,930,1800,930,1830,930,1900,0,0,930,1800,930,1200
연희수치과의원,전부 휴진,N,N,,,1000,1830,1000,1800,1000,2000,1000,1800,1000,1830,1000,1300
서울준치과의원,전부휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1400
리빙웰치과의원,전부 휴진,N,N,,,1000,1800,1000,1800,1000,1800,1000,1800,1000,1800,1000,1300
간석치과의원,휴무,N,N,,,930,1830,930,1830,930,1830,930,2100,930,1830,930,1400
초이스치과의원,,Y,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1300
브라이튼 서울 치과의원,휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1300
계양수치과의원,,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1430
이편한연세치과의원,휴무,N,N,,,,,,,,,,,,,,
부천시카고치과의원,진료없음,N,N,,,,,,,,,,,,,,
모현치과의원,,N,N,,,,,,,,,,,,,,
삼산건치과의원,휴진,N,N,,,930,1830,930,2000,930,1830,930,2000,930,1830,930,1300
연세주니어치과의원,,N,N,,,930,630,930,630,930,630,930,630,930,630,930,1300
연수웰치과의원,전부휴진,N,N,,,930,600,930,600,930,600,930,600,930,600,930,100
엘포트 해피치과의원,,N,N,,,1000,1900,1000,2100,1000,1900,1000,1900,1000,1900,1000,1300
웰빙미치과의원,전부휴진,N,N,,,930,1800,930,1800,930,1800,930,1800,930,1800,930,1230
美라인치과의원,휴진,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400
디지털허브치과의원,전부휴진,N,N,,,1000,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1300
이플랜치과의원,휴무,N,N,,,1000,1900,1000,1900,1000,1900,1400,2000,1000,1900,1000,1530
미소샘치과의원,,N,N,,,1000,1800,1000,1800,1000,1800,1000,1800,1000,1800,1000,1400
다인치과의원,전부 휴진,N,N,,,1000,1830,1000,1830,1000,1830,,,1000,1830,1000,1400
어른과아이들치과의원,휴무,N,N,,,930,1800,1000,2000,930,1800,1400,1800,930,1800,930,1300
이미지연합치과의원,휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1500
정자베스트치과의원,전부 휴진,N,N,,,930,1800,930,1800,930,1900,930,1800,930,1200,930,1200
평내서울치과의원,전부휴진,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1300
연세라인치과의원,,N,N,,,,,,,,,,,,,,
경희탑플란트치과의원,전부휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1600
박근완치과의원,전부 휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1400
연세행복나눔치과의원,휴진,N,N,,,1000,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1530
이승현치과의원,전부 휴진,N,N,,,1000,1830,1000,1830,,,1000,1830,1000,1830,1000,1400
미소플러스치과의원,,N,N,,,1000,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1300
별내보스톤치과의원,,N,Y,900,1400,900,2100,900,2100,900,2100,900,2100,900,2100,900,1400
