name,Closed Notice_Holiday,Emergency Room_Night_Operation Status,Consultation Start Time_Sunday,Consultation End Time_Sunday,Consultation Start Time_Monday,Consultation End Time_Monday,Consultation Start Time_Tuesday,Consultation End Time_Tuesday,Consultation Start Time_Wednesday,Consultation End Time_Wednesday,Consultation Start Time_Thursday,Consultation End Time_Thursday,Consultation Start Time_Friday,Consultation End Time_Friday,Consultation Start Time_Saturday,Consultation End Time_Saturday
복십자의원,전부 휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,,
춘천영상의학과의원,,N,,,830,1700,830,1700,830,1700,830,1700,830,1700,830,1200
임정근내과의원,,N,,,900,1830,900,1830,900,1230,900,1830,900,1830,900,1300
백피부과의원,,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1500
이재순내과의원,,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
우리들소아청소년과의원,,N,900,1800,800,2100,800,2100,800,2100,800,2100,800,2100,800,1800
김남두비뇨기과의원,전부휴진,N,,,,,,,,,,,,,,
오형균정형외과의원,,N,,,,,,,,,,,,,,
이승훈내과의원,전부 휴진,N,,,830,1730,830,1730,830,1230,830,1730,830,1730,830,1230
유주왕외과의원,휴진,N,,,900,1600,900,1600,900,1600,900,1600,900,1600,,
권혁준내과의원,전부 휴진,N,,,900,1730,900,1730,900,1730,900,1730,900,1730,900,1300
김태영내과의원,휴진,N,,,830,1700,830,1700,830,1230,830,1700,830,1700,,
이병호내과의원,휴무,N,,,830,1700,830,1700,830,1300,830,1700,830,1700,830,1200
김창동이비인후과의원,,N,,,,,,,,,,,,,,
오킴스의원,,N,,,900,1700,900,1700,900,1700,900,1700,900,1700,900,1300
김병호내과의원,휴무,N,,,920,1700,920,1700,920,1700,920,1700,920,1700,920,1200
최병기재활의학과의원,,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,,
강봉선신경정신과의원,전부휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
한양신경외과의원,휴진,N,,,830,1900,830,1900,830,1900,830,1900,830,1900,830,1230
엠앤비의원,휴진,N,,,830,1700,830,1700,830,1700,830,1700,830,1230,,
세종의원,,N,,,900,1730,900,1730,900,1730,900,1730,900,1730,,
이승재내과의원,휴무,N,,,900,1800,900,1800,900,1300,900,1800,900,1800,,
이해욱성형외과의원,,N,,,,,,,,,,,,,,
이성우내과의원,,N,,,,,,,,,,,,,,
이종화외과의원,휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
창촌의원,,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1200
신준호의원,,N,,,830,1730,830,1730,830,1730,830,1730,830,1730,830,1200
박민형안과의원,,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
횡계의원,전부휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
원의원,휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1200
고려산부인과의원,휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
키즈메디소아청소년과의원,,N,900,1300,830,1900,830,1900,830,1900,830,1900,830,1900,830,1600
연세피부과의원,휴진,N,,,830,1700,830,1700,830,1700,830,1230,830,1700,830,1230
김동일내과의원,전부 휴진,N,,,900,1800,900,1800,900,1300,900,1800,900,1800,900,1300
개성소아청소년과의원,전화확인,N,,,850,1700,850,1700,850,1200,850,1700,850,1700,850,1200
신해철신경외과의원,전부휴진,N,,,,,,,,,,,,,,
예수강릉메디컬의원,,N,,,830,1800,830,1800,830,1800,830,1800,830,1800,830,1800
연세남부내과의원,전부 휴진,N,,,900,1800,900,1800,900,1500,900,1800,900,1800,900,1200
강남영내과의원,전부휴진,N,,,900,1630,900,1630,900,1200,900,1630,900,1630,900,1200
아름다운산부인과의원,휴진,N,,,900,1800,900,1800,900,1200,900,1800,900,1800,830,1330
윤성일정형외과의원,휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
성윤업내과의원,전부휴진,N,,,830,1800,830,1800,830,1800,830,1800,830,1800,830,1300
석사성모의원,,N,,,900,1800,900,1800,900,1300,900,1800,900,1800,900,1300
난소아청소년과의원,휴진,N,,,830,1800,830,1800,830,1800,830,1800,830,1800,830,1300
최정준성형외과의원,휴무,N,,,930,1730,930,1730,930,1200,930,1730,930,1730,930,1100
연세봄산부인과의원,,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1500
송내과의원,전부휴진,N,,,830,1730,830,1730,830,1730,830,1200,830,1730,830,1230
문유보이비인후과의원,휴진,N,,,900,1800,900,1800,900,1300,900,1800,900,1800,900,1300
예사랑산부인과의원,휴진,N,,,930,1800,930,1800,930,1800,930,1300,930,1930,930,1300
이호영소아청소년과의원,휴진,N,,,900,1800,900,1800,900,1230,900,1800,900,1800,900,1200
한사랑마취통증의학과의원,,N,,,800,1800,800,1800,800,1230,800,1800,800,1800,800,1230
참가정의원,9시부터 1시까지 진료,N,,,,,,,,,,,,,,
이광훈내과의원,인공신장실만운영,N,,,900,1700,900,1700,900,1700,900,1400,900,1700,,
중앙방사선과의원,휴진,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1300
홍천연세안과의원,휴무,N,,,,,,,,,,,,,,
미래산부인과의원,진료,Y,0,0,900,1800,900,1800,900,1800,900,1800,900,1800,900,1400
우리소아과의원,"추석당일,구정 설당일",N,900,1800,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100
동해정형외과의원,전부휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
송광선내과의원,전부휴진,N,,,830,1700,830,1700,830,1700,830,1200,830,1700,830,1200
연규홍소아청소년과의원,휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
영월제일의원,전부휴진,N,,,830,1800,830,1800,830,1800,830,1800,830,1800,830,1300
세란신경과의원,전부휴진,N,,,,,,,,,,,,,,
우리들마취통증의학과의원,휴진,N,,,900,1700,900,1700,900,1700,900,1200,900,1700,900,1200
김동우외과의원,전부 휴진,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,800,1300
참사랑내과의원,휴무,N,,,,,,,,,,,,,,
석사성심안과의원,휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1400
한빛이비인후과의원,,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1500
이명호내과의원,전부 휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
엄준형이비인후과의원,,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
윤동석내과의원,휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1230
한마음 소아청소년과의원,,N,,,900,1830,900,1830,900,1300,900,1830,900,1830,900,1300
서울영상의학과의원,전부 휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1230
도홍림이비인후과의원,전부 휴진,N,,,900,1750,900,1750,900,1750,900,1750,900,1750,900,1250
Dr.신형직의비타민정신과의원,휴진,N,,,900,1800,900,1800,900,2000,900,1800,900,1800,,
횡성내과의원,전부휴진,N,,,900,1740,900,1740,900,1300,900,1740,900,1740,900,1300
호산의원,,N,,,830,1730,830,1730,830,1730,830,1730,830,1730,830,1230
조남천항맥외과의원,휴무,N,,,900,1800,900,1800,900,1330,900,1800,900,1800,900,1330
양양정형외과의원,,N,,,800,1900,800,1900,800,1900,800,1900,800,1900,800,1600
원정형외과의원,,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
웰링탑의원,휴무,N,,,940,2000,940,1900,940,2000,940,1900,940,2000,840,1400
하나산부인과의원,휴무,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1300
원주영상의학과의원,,N,,,,,,,,,,,,,,
고은의원,휴무,N,,,1000,1900,1000,1900,,,1000,1900,1000,1900,1000,1500
21세기소아청소년과의원,,N,,,,,,,,,,,,,,
누가이비인후과의원,휴진,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1300
홍영기비뇨기과의원,,N,,,900,1800,900,1800,0,0,900,1800,900,1800,900,1200
평창의원,전부휴진,N,,,830,1800,830,1800,830,1300,830,1800,830,1800,830,1300
최원규소아청소년과의원,,N,800,1100,830,1830,830,1830,830,1830,830,1830,830,1830,830,1300
서울산부인과의원,전부휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
연세준내과의원,전부휴진,N,,,920,1830,920,1830,920,1830,920,1300,920,1830,920,1300
온세의원,전부 휴진,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1400
이외과의원,전부 휴진,N,,,830,1730,830,1730,830,1730,830,1730,830,1730,,
우리들의원,휴무,N,,,900,1800,900,1800,900,1300,900,1800,900,1800,900,1300
김정권내과의원,,N,,,900,1800,900,1800,900,1300,900,1800,900,1800,900,1200
강릉속편한내과의원,,N,,,830,1800,830,1800,830,1800,830,1800,830,1800,830,1300
화인비뇨기과의원,전부휴진,N,,,900,1800,900,1800,900,1800,900,1230,900,1800,900,1230
선메디라인의원,전부휴진,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1300
동해의원,휴무,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
정성마취통증의학과의원,전부휴진,N,,,830,1730,830,1730,830,1730,830,1730,830,1730,830,1330
누누베베소아과의원,전부 휴진,N,,,830,1830,830,1830,830,1300,830,1830,830,1830,900,1330
연세프라임안과의원,휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1230
북평의원,전부휴진,N,,,840,1700,840,1700,840,1700,840,1700,840,1700,840,1300
닥터스킨피부과의원,전부 휴진,N,,,930,2000,930,1830,930,1830,930,1330,930,2000,930,1330
강윤철피부과의원,전부휴진,N,,,,,,,,,,,,,,
화천내과의원,휴진,N,,,830,1800,830,1800,830,1800,830,1800,830,1800,830,1230
고석연가정의학과의원,전부휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1400
미르이비인후과의원,전부 휴진,N,,,900,1800,1400,1800,900,1300,900,1800,900,1800,900,1300
포인트피부과의원,전부 휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
드림연세안과의원,휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1200
한마음연합의원,,N,,,900,1830,900,1830,900,1300,900,1830,900,1830,900,1300
연세그린내과의원,전부휴진,N,,,900,1800,900,1800,900,1300,900,1800,900,1800,900,1300
윤화준소아청소년과의원,,N,,,,,,,,,,,,,,
우성재활의학과의원,전부휴진,N,,,830,1830,830,1830,830,1830,830,1830,830,1830,830,1300
김윤호안과의원,전부 휴진,N,,,900,1800,900,1800,900,1800,900,1300,900,1800,900,1200
연세플러스비뇨기과의원,전부휴진,N,,,930,1800,930,1800,930,1800,930,1800,930,1800,930,1300
전창호내과의원,전부 휴진,N,,,830,1800,830,1800,830,1800,830,1230,830,1800,830,1220
진부성심의원,전부 휴진,N,0,,830,1730,830,1730,830,1730,830,1730,830,1730,0,0
연세장상민재활의학과의원,,N,,,830,1800,830,1800,830,1300,830,1800,830,1800,830,1300
그랜드아름다운의원,휴진,N,,,,,,,,,,,,,,
연세수비뇨기과의원,,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1500
희망정형외과의원,,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1400
리온재활의학과의원,전부휴진,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1300
남부밝은안과의원,전부휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
이화코난소아청소년과의원,전부 휴진,N,,,900,1700,900,1700,900,1700,900,1700,900,1700,900,1130
연세남부정형외과의원,대체공휴일 진료,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
아나파마취통증의학과의원,전부 휴진,N,,,900,1800,900,1800,,,900,1800,900,1800,900,1300
예손정형외과의원,전부휴진,N,,,900,1700,900,1700,900,1700,900,1700,900,1700,900,1230
365성모가정의학과의원,휴진,N,,,900,1900,900,1900,900,1900,900,1230,900,1900,900,1400
연세키즈 소아청소년과의원,오전진료 (1시),N,,,900,1830,900,1830,900,1300,900,1830,900,1830,900,1300
333힐링의원,휴진,N,0,0,900,1830,900,1830,900,1830,900,1830,900,1830,900,1300
다온재활의학과의원,,N,,,900,2000,900,2000,900,2000,900,2000,900,2000,900,1330
윤덕형내과의원,전부휴진,N,,,830,1800,830,1800,830,1800,830,1800,830,1800,830,1300
연세굿모닝내과의원,전부 휴진,N,,,900,1800,900,1800,900,1800,900,1300,900,1800,900,1300
조아가정의학과의원,,N,,,900,600,900,600,900,600,900,600,900,600,900,1300
최경훈내과의원,전부 휴진,N,,,900,1700,900,1700,900,1700,,,900,1700,900,1200
그랜드연합의원,전부 휴진,N,,,900,1900,900,1900,900,2000,900,1900,900,2000,900,1400
김인수정형외과의원,휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,,
강릉연세정형외과의원,휴무,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,,
호산부인과의원,"오전 10시부터  오후 1시까지 진료합니다. 단, 설날,추석 제외",N,1000,1300,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
연세신영내과의원,휴진,N,,,830,1800,830,1800,830,1800,830,1800,830,1800,830,1300
임수빈내과의원,휴진,N,,,900,1800,900,1800,900,1300,900,1800,900,1800,900,1300
속초항맥외과의원,,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1330
청주정신건강의학과의원,,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1300
미소톡의원,전부 휴진,N,,,,,,,,,,,,,,
삼성바른신경외과의원,휴진,N,,,830,1830,830,1830,830,1830,830,1830,830,1830,800,1300
성화마루의원,변동사항있음,N,,,900,2100,900,2100,900,2100,900,2100,900,2100,900,1400
유항외과의원,전부 휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
이솜이비인후과의원,전부휴진,N,,,830,1830,830,1830,0,0,830,1830,830,1830,800,1300
더사랑의원,따로공지,N,,,,,,,,,,,,,,
성화메디컬의원,오전 9시00분~17시00분 진료,N,,,900,2100,900,2000,900,2000,900,2000,900,2000,900,1700
365다나아가정의학과의원,오후 4시 이후,N,900,1600,900,2100,900,2100,900,1230,,,900,2100,900,1600
맑은숨내과의원,전부휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1230
명가정의학과의원,진료,N,,,800,1800,800,1800,800,1800,800,1800,800,1800,800,1300
고은미래의원,,N,,,1000,2000,1000,1900,1400,1900,1000,2000,1000,1900,930,1400
장사랑연합내과의원,휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1400
충주우리정형외과통증의학과의원,오후 12시 이후 휴진,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1500
사랑의원,,N,1000,1600,830,2100,830,2100,830,2100,830,2100,830,2100,830,1600
다미안의원,,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1300
행복드림내과의원,휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
우리들정신건강의학과의원,전부 휴진,N,,,900,1800,900,1800,900,1230,900,1800,900,1800,900,1200
더웰연합내과의원,,N,,,830,1900,830,1900,830,1900,830,1900,830,1900,830,1400
미앤터치의원,,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,900,1400
괴산정형외과의원,정상진료 08시10분~20시00분진료,N,,,,,,,,,,,,,,
보성의원,,N,,,900,1800,900,1800,900,1800,900,1300,900,1800,900,1300
율량미즈닥터여성의원,휴진,N,,,1000,1600,1000,1600,,,1000,1600,1000,1600,930,1300
학군교의원,전부휴진,Y,,,830,1600,830,1600,830,1600,830,1600,830,1600,,
충주별산부인과의원,09:00~13:00 오전진료,N,1000,1300,900,2000,900,1800,900,1800,900,2000,900,1800,900,1300
삼성365정형외과의원,,N,900,1800,900,2100,900,2100,900,2100,900,2100,900,2100,900,1800
아이나래정신건강의학과의원,전부 휴진,N,,,,,930,1830,930,2000,930,1830,930,1830,900,1300
서울연합내과의원,전부휴진,N,,,900,1900,900,1800,900,1800,900,1800,900,1900,900,1300
브레인신경과의원,전부 휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
황민호신경과의원,전부휴진,N,,,830,1730,830,1730,830,1730,830,1230,830,1730,830,1230
숨사랑내과의원,,N,,,,,,,,,,,,,,
세광연합의원,,N,,,,,,,,,,,,,,
오늘하루 정신건강의학과의원,전부 휴진,N,,,1000,1900,1000,2000,1000,1900,1000,2000,1000,1900,1000,1500
연세좋은의원,전부 휴진,N,,,830,1800,830,1800,830,1800,830,1800,830,1800,830,
늘편한장사랑의원,8시 30분 ~ 13시30분 까지 진료,N,,,830,1830,830,1830,830,1830,830,1830,830,1830,830,1330
온유한정신건강의학과의원,전부휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1600
영춘의원,,N,,,800,1800,800,1800,800,1800,800,1800,800,1800,800,1400
박찬희신경과의원,전부 휴진,N,,,830,1800,830,1800,830,1800,830,1300,830,1900,,
박봉안내과의원,휴진,N,,,830,1800,830,1800,830,1300,830,1800,830,1800,830,1300
제천밝은안과의원,,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1300
햇님이비인후과의원,전부휴진,N,,,,,,,,,,,,,830,1300
참다운가정의학과의원,전부 휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
스마트혜인의원,,N,,,,,,,,,,,,,,
류마플러스내과의원,전부 휴진,N,,,900,1700,900,1700,900,1200,900,1700,900,1700,900,1200
베스트이비인후과의원,전부 휴진,N,,,830,1830,830,1830,830,1830,830,1830,830,1830,830,1300
고명재활의학과의원,,N,,,930,1800,930,1800,,,930,1800,930,1800,930,1300
서울튼튼연합의원,,N,,,830,2000,830,1830,830,1830,830,2000,830,1830,830,200
이지브레인 정신건강의학과의원,전부 휴진,N,,,1000,1900,1000,1900,1400,2000,1000,1900,1000,1900,1000,1400
압구정최안과의원,전부 휴진,N,,,930,1830,930,1830,,,930,1830,930,1830,930,200
금강의원,,N,,,800,1800,800,1800,800,1800,800,1800,800,1800,800,1400
이산부인과의원,전부 휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1200
프리모산부인과의원,휴진,N,,,1000,1800,1000,1800,1000,1800,1000,1800,1000,1800,1000,1300
녹십자외과의원,휴진,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1300
장관환정형외과의원,휴진,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1300
최정선피부과의원,전부 휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
김옥년정형외과의원,휴진,N,,,820,1800,820,1800,820,1800,820,1300,820,1800,820,1300
이영두소아청소년과의원,휴일,N,,,,,,,,,,,,,,
조항복내과의원,,N,,,920,1830,920,1830,920,1830,920,1300,920,1830,920,1300
우리소아청소년과의원,휴진,N,,,900,1800,900,1800,900,1300,900,1800,900,1800,900,1300
세광내과의원,오전 9시진료시작 ~ 오후4시까지 진료,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1600
백석기내과의원,전부휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
선하신경과의원,휴무,N,,,830,1830,830,1830,830,1830,830,1830,830,1830,830,1300
윤성열내과의원,전부휴진,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1300
한국한센복지협회충북.세종지부부설충북의원,전부휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1230
(사)인구보건복지협회 충북세종지회 가족보건의원,휴진,N,,,820,1700,820,1700,820,1700,820,1700,820,1700,820,1200
양의원,09:30 - 오후 1시,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1500
오성근이비인후과의원,전부 휴진,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1200
예슬림의원,,N,,,,,,,,,,,,,,
한울내과의원,전부휴진,N,,,,,,,,,,,900,1300,,
조성우내과의원,전부휴진,N,,,900,1815,900,1815,900,1815,900,1815,900,1815,900,1600
성심흉부외과의원,오후 5시 이후,N,900,1700,900,2000,900,2000,900,2000,900,2000,900,2000,900,1700
정효경성형외과의원,휴진,N,,,930,1800,930,1800,930,1800,930,1800,930,1800,930,1300
성신의원,전부휴진,N,,,830,1900,830,1900,830,1900,830,1900,830,1900,830,1500
가인비뇨기과의원,전부휴진,N,,,900,1800,900,1800,900,1300,900,1800,900,1800,900,1300
최남렬의원,전부휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
엄기명산부인과의원,전부 휴무,N,,,930,1800,930,1800,930,1800,930,1800,930,1800,930,1200
김명수내과의원,,N,,,830,1900,830,1900,830,1900,830,1900,830,1900,830,1600
대한산업보건협회부설충북의원,,N,,,,,,,,,,,,,,
도내과의원,휴진,N,,,900,550,900,550,900,550,900,550,900,550,900,1250
김태룡내과의원,전부 휴진,N,,,900,1830,900,1830,900,1300,900,1830,900,1830,900,1300
안광무내과의원,휴무,N,,,900,630,900,630,900,630,900,630,900,630,900,1230
새한정형외과의원,전부휴진,N,0,0,900,1800,900,1800,900,1800,900,1800,900,1800,900,1500
오창사랑의원,휴진,N,,,830,1900,830,1900,830,1900,830,1900,830,1900,,
정덕용의원,,N,0,0,900,2100,900,2100,900,2100,900,2100,900,2100,900,1800
부강제일의원,08시30분~13시00,N,,,830,630,830,630,830,630,830,630,830,630,830,100
최동석소아청소년과의원,,N,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400
옥천성심의원,휴진 합니다.,N,,,830,1800,830,1800,830,1800,830,1800,830,1800,830,1300
안기현이비인후과의원,09:00~13;00,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1600
영창의원,오전진료,N,,,830,1800,830,1800,830,1800,830,1800,830,1800,830,1600
조궁희정형외과의원,전부휴진,N,,,830,1800,830,1800,830,1230,830,1800,830,1800,830,1230
이성웅외과의원,오후1시이후,N,,,900,2000,900,2000,900,2000,900,2000,900,2000,900,1300
이화의원,전부휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
권주형정형외과의원,전부 휴진,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1300
유경의원,휴진,N,,,830,1800,830,1800,830,1800,830,1800,830,1800,830,1400
문연합의원,전부휴진,N,,,900,1800,900,1800,900,1800,900,1300,900,1800,900,1230
김앤박내과의원,오후 3시이후,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1500
충주성모안과의원,10시 이후 휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
동하재활의학과의원,전부 휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
서울연합정형외과의원,17시 이후,N,800,1700,800,1900,800,1900,800,1900,800,1900,800,1900,800,1700
성모정신건강의학과의원,휴진,N,,,810,1830,810,1830,810,1830,810,1830,810,1830,800,1600
신세기정형외과의원,전부휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,,
정소아청소년과의원,오전 8시 ~ 오후1시까지 정상진료,N,,,800,1800,800,1800,800,1800,800,1800,800,1800,800,1300
한마음의원,8시 30분 ~ 2시 30분,N,,,830,1840,830,1840,830,1840,830,1840,830,1840,830,1430
정준내과의원,오전진료,N,,,,,,,,,,,,,,
21세기마취통증의학과의원,08시 30분 ~ 13시 00분 진료,N,830,1300,830,1900,830,1900,830,1900,830,1900,830,1900,830,1700
박영규안과의원,8시30~12시,N,,,840,1730,840,1730,840,1730,840,1730,840,1730,900,1300
해피맘산부인과의원,,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1300
장헌상신경외과의원,전부휴진,N,,,900,1830,900,1830,900,1300,900,1830,900,1830,900,1300
삼성연합소아청소년과의원,,N,900,1600,800,1900,800,1900,800,1900,800,1900,800,1900,800,1600
신가정의학과의원,정상진료 합니다.,Y,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200
길소아청소년과의원,휴진,N,,,830,1830,830,1830,830,1830,830,1830,830,1830,830,1300
이상봉비뇨기과의원,,N,,,900,1830,900,1830,900,1230,900,1830,900,1830,900,1330
서울비뇨기과의원,전부 휴진,N,,,900,1800,900,1800,900,1300,900,1800,900,1800,900,1300
연세유정산부인과의원,09시30분~13시까지,N,,,,,,,,,,,,,,
단양의원,08:30-12:30까지 진료함.,N,,,830,1730,830,1730,830,1730,830,1730,830,1730,830,1230
소망가정의학과의원,,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
청주밝은안과의원,전부 휴진,N,,,,,,,,,,,,,,
진천중앙재활의학과의원,휴진,N,,,830,2000,830,2000,830,2000,830,1900,830,2000,830,1500
부영의원,오전8시30분 ~오후1시30분.,N,,,830,1900,830,1900,830,1900,830,1900,830,1900,830,1330
김충환가정의학과의원,전부휴진,N,,,,,,,,,,,,,,
오미희내과의원,전부 휴진,N,900,1200,900,1800,900,1800,900,1300,900,1800,900,1800,900,1300
고려정형외과의원,전부 휴진,N,,,900,1800,900,1800,900,1800,900,1300,900,1800,900,1300
덕산연세의원,전부휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
한사랑연합의원,전부 휴진,N,,,800,1800,800,1800,800,1800,800,1800,800,1800,800,1300
인정신과의원,전부휴진,N,,,900,1730,900,1730,900,1730,900,1730,900,1730,,
이광래소아과의원,휴진,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400
오케이연합의원,,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1600
용산의원,전부휴진,N,,,,,,,,,,,,,,
새서울내과의원,,N,,,,,,,,,,,,,,
연세성심내과의원,휴진,N,,,900,1700,900,1700,900,1700,900,1230,900,1700,900,1230
우리아이소아청소년과의원,9~1시 진료,N,,,830,2100,830,2100,830,2100,830,2100,830,2100,900,1500
조마취통증의학과의원,전부 휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,930,1230
고은소아과의원,전부휴진,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1300
스마일가정의학과의원,전부 휴진,N,,,900,1800,900,1800,900,1200,900,1800,900,1800,900,1200
온빛밝은안과의원,오후 1시까지 진료,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
최은진내과의원,전부휴진,N,,,900,1830,900,1830,900,1730,900,1830,900,1830,900,1300
이소아청소년과의원,"오전진료(추석,설날 제외)",N,,,830,2200,830,2200,830,2200,830,2200,830,2200,830,1500
새롬내과의원,,N,,,800,1800,800,1800,800,1800,800,1800,800,1800,800,1400
밝은세상의원,휴진,N,,,,,,,,,,,,,,
조엘소아청소년과의원,평일 진료와 동일,N,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100
앙성연세의원,오전진료(09시-13시까지),N,900,1300,830,1900,830,1900,830,1900,830,1900,830,1900,830,1600
김주영내과의원,오전근무,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1600
드림신경외과의원,휴진,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400
하안유산부인과의원,,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1300
삼성외과의원,,N,,,800,1830,800,1830,800,1830,800,1830,800,1830,800,1530
삼성내과의원,,N,,,830,1800,830,1800,830,1800,830,1800,830,1800,830,1300
연세베스토내과의원,,N,,,,,,,,,,,,,,
김훈신경외과의원,휴진,N,,,830,1900,830,1900,830,1900,830,1300,830,1900,830,1300
권안과의원,휴진,N,,,900,1830,900,1830,1400,1830,900,1830,900,1830,900,1300
김태웅산부인과의원,전부휴진,N,,,830,1800,830,1800,830,1800,830,1800,830,1800,830,1300
조앤황이비인후과의원,전부휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
행복한노인의원,12시반이후 휴진,N,,,740,1800,740,1800,740,1800,740,1800,740,1800,740,1500
